x,y
-2.353383458646616688e+00,8.679721260795209004e-02
-2.338345864661654172e+00,8.799657400661342610e-02
-2.323308270676691656e+00,8.921088915365227301e-02
-2.308270676691729584e+00,9.044029959308938493e-02
-2.293233082706767068e+00,9.168494695399544148e-02
-2.278195488721804551e+00,9.294497290958932123e-02
-2.263157894736842035e+00,9.422051913516832355e-02
-2.248120300751879519e+00,9.551172726485886166e-02
-2.233082706766917447e+00,9.681873884717710765e-02
-2.218045112781954931e+00,9.814169529938997216e-02
-2.203007518796992414e+00,9.948073786066630175e-02
-2.187969924812030342e+00,1.008360075440106474e-01
-2.172932330827067826e+00,1.022076450869713327e-01
-2.157894736842105310e+00,1.035957909011153838e-01
-2.142857142857142794e+00,1.050005850202648250e-01
-2.127819548872180277e+00,1.064221670474884279e-01
-2.112781954887218205e+00,1.078606761008444326e-01
-2.097744360902255689e+00,1.093162507578712972e-01
-2.082706766917293173e+00,1.107890289988228694e-01
-2.067669172932331101e+00,1.122791481486474924e-01
-2.052631578947368585e+00,1.137867448177102836e-01
-2.037593984962406068e+00,1.153119548412588485e-01
-2.022556390977443552e+00,1.168549132176348315e-01
-2.007518796992481036e+00,1.184157540452343005e-01
-1.992481203007518964e+00,1.199946104582207129e-01
-1.977443609022556448e+00,1.215916145609973464e-01
-1.962406015037593932e+00,1.232068973614441204e-01
-1.947368421052631637e+00,1.248405887029295641e-01
-1.932330827067669343e+00,1.264928171951058000e-01
-1.917293233082706827e+00,1.281637101434990877e-01
-1.902255639097744311e+00,1.298533934779076693e-01
-1.887218045112782017e+00,1.315619916796222366e-01
-1.872180451127819723e+00,1.332896277074846481e-01
-1.857142857142857206e+00,1.350364229228023794e-01
-1.842105263157894690e+00,1.368024970131380691e-01
-1.827067669172932396e+00,1.385879679149958632e-01
-1.812030075187970102e+00,1.403929517354266243e-01
-1.796992481203007586e+00,1.422175626725774578e-01
-1.781954887218045069e+00,1.440619129352111727e-01
-1.766917293233082775e+00,1.459261126612256820e-01
-1.751879699248120481e+00,1.478102698352021793e-01
-1.736842105263157965e+00,1.497144902050156490e-01
-1.721804511278195449e+00,1.516388771975412941e-01
-1.706766917293233154e+00,1.535835318334941579e-01
-1.691729323308270860e+00,1.555485526414399633e-01
-1.676691729323308344e+00,1.575340355710177498e-01
-1.661654135338345828e+00,1.595400739054173567e-01
-1.646616541353383534e+00,1.615667581731565772e-01
-1.631578947368421240e+00,1.636141760592049466e-01
-1.616541353383458723e+00,1.656824123155036521e-01
-1.601503759398496207e+00,1.677715486709325243e-01
-1.586466165413533913e+00,1.698816637407785657e-01
-1.571428571428571619e+00,1.720128329357613339e-01
-1.556390977443609103e+00,1.741651283706733555e-01
-1.541353383458646586e+00,1.763386187726961041e-01
-1.526315789473684292e+00,1.785333693894541884e-01
